"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"q2_d16",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.0120719782358564,0.00661868900738331,0.209301323876503,0.00468246169613421,0.107443061870051,0.513341530192361,0.0114844092127145,0.209544672542175,0.665,0.0149256490646136,0.421169063308016,"11e_floor_sweep",1000
"q3_d00",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00676352213056225,0.0033388151074286,0.105582604256542,0.00236208013906813,0.107443061870051,1.01762087255386,0.0227660803508901,0.105746318455455,0.948,0.00702111102319284,0.421169063308016,"11e_floor_sweep",1000
"q3_d04",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00486516505530646,0.00346611850316929,0.109608291100685,0.00245214227579621,0.107443061870051,0.980245753228235,0.0219299290958987,0.109661448702586,0.937,0.00768316341099159,0.421169063308016,"11e_floor_sweep",1000
"q3_d08",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.011714705515639,0.00370552280939615,0.117178919993978,0.00262151138991327,0.107443061870051,0.916914594157142,0.0205130927327559,0.117704726825146,0.927,0.00822623850857729,0.421169063308016,"11e_floor_sweep",1000
"q3_d12",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.000444798926523234,0.00458695611583715,0.145052288532845,0.0032450907257157,0.107443061870051,0.740719522296413,0.0165712797534826,0.144980426569562,0.86,0.0109726933794762,0.421169063308016,"11e_floor_sweep",1000
"q3_d16",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.0210912584981635,0.00577560223854926,0.182640579329828,0.00408601102483372,0.107443061870051,0.58827595852081,0.0131608323899359,0.183763611255748,0.751,0.0136747577675073,0.421169063308016,"11e_floor_sweep",1000
"q5_d00",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00339568057497606,0.00344906401891256,0.109068980954978,0.00244007690013188,0.107443061870051,0.98509274524534,0.0220383653639605,0.109067305873566,0.952,0.00675988165576884,0.421169063308016,"11e_floor_sweep",1000
"q5_d04",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.000284908731155147,0.00335363921230366,0.106051383613325,0.00237256760919695,0.107443061870051,1.01312267892515,0.0226654473545089,0.10599872755519,0.948,0.00702111102319284,0.421169063308016,"11e_floor_sweep",1000
"q5_d08",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00529256984030151,0.00365955825065392,0.115725393021278,0.00258899327560845,0.107443061870051,0.928431168518873,0.0207707400200291,0.115788537942465,0.935,0.0077958322198467,0.421169063308016,"11e_floor_sweep",1000
"q5_d12",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00760800387157857,0.00418760918823755,0.132423829854794,0.00296256850872256,0.107443061870051,0.811357457248174,0.0181515823458389,0.132576077652071,0.887,0.0100115433375679,0.421169063308016,"11e_floor_sweep",1000
"q5_d16",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.0237104313517102,0.00507267671130797,0.160412122414256,0.00358871890960204,0.107443061870051,0.669793904930605,0.0149845411679874,0.162075604343507,0.789,0.0129026741414329,0.421169063308016,"11e_floor_sweep",1000
"q7_d00",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.000585796393364538,0.00330605631703849,0.104546680346294,0.00233890458556467,0.107443061870051,1.02770419408979,0.0229916630944071,0.104496035907938,0.957,0.00641490451994416,0.421169063308016,"11e_floor_sweep",1000
"q7_d04",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00698797233655041,0.00326864594273736,0.103363660437184,0.00231243821971674,0.107443061870051,1.03946649543575,0.0232548077534602,0.103548027552681,0.957,0.00641490451994416,0.421169063308016,"11e_floor_sweep",1000
"q7_d08",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00583338756460651,0.00349433385964575,0.110500539015277,0.00247210352881722,0.107443061870051,0.972330658542728,0.0217528536383731,0.110599218641105,0.937,0.00768316341099159,0.421169063308016,"11e_floor_sweep",1000
"q7_d12",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00152486812942735,0.00415175808372869,0.131290118385987,0.00293720526481738,0.107443061870051,0.818363660501644,0.0183083242037597,0.131233316324144,0.887,0.0100115433375679,0.421169063308016,"11e_floor_sweep",1000
"q7_d16",200,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.0126172446687706,0.00487082543281185,0.154029024527609,0.00344591708301381,0.107443061870051,0.697550751876585,0.0156055136980355,0.154468153091702,0.823,0.0120694241784768,0.421169063308016,"11e_floor_sweep",1000
"q2_d00",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00176231002954065,0.00147397092019495,0.0466110531267031,0.00104277635152964,0.0478570253511981,1.02673126095452,0.0229698967622386,0.0466210619778976,0.951,0.00682634602111555,0.187596092191137,"11e_floor_sweep",1000
"q2_d04",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00380209375787962,0.00150413588240447,0.047564952987853,0.00106411687379226,0.0478570253511981,1.00614049515448,0.0225092428572989,0.0476929580224128,0.955,0.00655553201502365,0.187596092191137,"11e_floor_sweep",1000
"q2_d08",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00539693401585985,0.00178189995314988,0.0563486241450094,0.00126062400993007,0.0478570253511981,0.84930246438744,0.0190004830560608,0.0565784338097481,0.908,0.00913980306133562,0.187596092191137,"11e_floor_sweep",1000
"q2_d12",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00376227806933384,0.00223915361805349,0.0708082546405574,0.00158411296203822,0.0478570253511981,0.675867885660137,0.0151204274661834,0.0708727722936514,0.818,0.0122014753206323,0.187596092191137,"11e_floor_sweep",1000
"q2_d16",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00353994153582462,0.00294409566806995,0.0931004796053611,0.00208283168768226,0.0478570253511981,0.514036292337663,0.011499952340073,0.093121226310238,0.683,0.0147143127600306,0.187596092191137,"11e_floor_sweep",1000
"q3_d00",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00217354842229654,0.00140614096799699,0.0444660817014443,0.000994789332852197,0.0478570253511981,1.07625910626714,0.0240779272050142,0.0444969605950981,0.962,0.00604615580348373,0.187596092191137,"11e_floor_sweep",1000
"q3_d04",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00744521957385321,0.00147131396590449,0.046527032854735,0.00104089666105324,0.0478570253511981,1.02858537101679,0.0230113766687495,0.0470959798282423,0.95,0.00689202437604511,0.187596092191137,"11e_floor_sweep",1000
"q3_d08",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00260325801680774,0.00167424181032069,0.0529441747449698,0.0011844601156132,0.0478570253511981,0.903914842033588,0.0202222639876224,0.0529816902909727,0.926,0.00827792244467173,0.187596092191137,"11e_floor_sweep",1000
"q3_d12",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00148553310461165,0.00200016416410095,0.0632507445280578,0.00141503733956004,0.0478570253511981,0.756623905509427,0.0169270905234112,0.0632365624878138,0.866,0.0107723720693262,0.187596092191137,"11e_floor_sweep",1000
"q3_d16",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00582265179198449,0.00252280719800721,0.0797781684317019,0.00178478669389404,0.0478570253511981,0.599876210396689,0.0134203516995527,0.079950577709291,0.765,0.0134080199880519,0.187596092191137,"11e_floor_sweep",1000
"q5_d00",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00156000006207362,0.00144435249882605,0.0456744364044599,0.00102182248537804,0.0478570253511981,1.04778578825606,0.0234409258785084,0.0456782397528391,0.957,0.00641490451994416,0.187596092191137,"11e_floor_sweep",1000
"q5_d04",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00652688314110568,0.00143784959233618,0.0454687964452691,0.00101722193525121,0.0478570253511981,1.05252456833344,0.0235469412432839,0.0459123539177505,0.956,0.00648567652600714,0.187596092191137,"11e_floor_sweep",1000
"q5_d08",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00542916867886056,0.00162748406242647,0.0514655649289129,0.00115138085123501,0.0478570253511981,0.92988438808164,0.0208032512569993,0.0517255405155153,0.934,0.00785136930732467,0.187596092191137,"11e_floor_sweep",1000
"q5_d12",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00186946607326214,0.00188834785200785,0.0597148022703138,0.00133593170432098,0.0478570253511981,0.801426506187886,0.0179294084145673,0.0597142081582899,0.885,0.0100883596287999,0.187596092191137,"11e_floor_sweep",1000
"q5_d16",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00892578402043374,0.00218912708154309,0.0692262766523331,0.00154872115850449,0.0478570253511981,0.69131300519808,0.0154659636495632,0.0697649963960843,0.823,0.0120694241784768,0.187596092191137,"11e_floor_sweep",1000
"q7_d00",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00251122173699004,0.00144251232047597,0.045616244855588,0.00102052063169845,0.0478570253511981,1.04912242344156,0.0234708289051205,0.0456625359298251,0.958,0.00634318531969546,0.187596092191137,"11e_floor_sweep",1000
"q7_d04",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00227411126847545,0.00149111299465047,0.0471531331176994,0.00105490369380856,0.0478570253511981,1.01492779348812,0.0227058311401519,0.0471843843545094,0.953,0.00669260786241059,0.187596092191137,"11e_floor_sweep",1000
"q7_d08",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00968934166851773,0.00160378571719723,0.0507161574518993,0.001134615205701,0.0478570253511981,0.943624827976904,0.0211106505715664,0.0516085248774699,0.928,0.00817410545564467,0.187596092191137,"11e_floor_sweep",1000
"q7_d12",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.0065678066069524,0.00183848830191869,0.0581381048563838,0.00130065803710099,0.0478570253511981,0.823161082897652,0.0184156515067764,0.0584790157294214,0.89,0.00989444288477123,0.187596092191137,"11e_floor_sweep",1000
"q7_d16",1000,8,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00814922986774365,0.00228423759109636,0.0722339350484086,0.00161600809665587,0.0478570253511981,0.662528288388636,0.0148219957500872,0.0726562700573217,0.793,0.0128121426779442,0.187596092191137,"11e_floor_sweep",1000
"q2_d00",200,8,"congeneric","omega","population",1000,1000,1000,1000,0,-0.00569560687495374,0.00311201487170544,0.0984105510690589,0.00220162790823159,0.107443061870051,1.09178396729689,0.0244252473545634,0.0985260973693171,0.966,0.00573096850453743,0.421169063308016,"11e_floor_sweep",1000
