"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,25,0.3,0.3,"phi (r)","own",300,299,0.0033333333333333,0.000824811389450939,0.0126846618871256,0.219338308350408,0.00898444717966509,0.189172892795737,0.862470829735407,0.0353281817117894,0.218972768116622,0.967857142857143,0.0105406854408374,0.739180716569993,"03a_2x2_to_cor_CAT",300
0.25,25,0.3,0.3,"phi (r)","own",300,300,0,-0.0123761450015503,0.0124486598973402,0.215617114283383,0.00881723949587291,0.18581497094372,0.861782106495987,0.0352408910187263,0.215612939787373,0.966911764705882,0.0108454049600373,0.730526606105115,"03a_2x2_to_cor_CAT",300
0.5,25,0.3,0.3,"phi (r)","own",300,300,0,-0.0315712234498395,0.0120980465321087,0.209544312659448,0.00856890417004719,0.173002729115867,0.825614052322347,0.0337618692963154,0.211563698181297,0.928301886792453,0.0158480394323446,0.698215869288317,"03a_2x2_to_cor_CAT",300
0.75,25,0.3,0.3,"phi (r)","own",300,300,0,0.00128454885931518,0.00929308451231082,0.160960945343538,0.00658218253821356,0.145204721234913,0.902111508633376,0.0368900829140569,0.160697587324466,0.89375,0.0243619756870209,0.628072851269073,"03a_2x2_to_cor_CAT",300
0,50,0.3,0.3,"phi (r)","own",300,300,0,-0.00144104692846,0.00778956177718209,0.134919167667759,0.00551725505586243,0.138462727635779,1.02626431832685,0.0419670688517974,0.134701823104702,0.962962962962963,0.0109583378345506,0.540366929449047,"03a_2x2_to_cor_CAT",300
0.1,50,0.3,0.3,"phi (r)","own",300,300,0,-0.00398462569216057,0.00855110054325694,0.148109406015508,0.00605664401348896,0.137325558164182,0.927189986500941,0.0379156181378502,0.147916030475647,0.963087248322148,0.0109222696650304,0.536415968935141,"03a_2x2_to_cor_CAT",300
0.25,50,0.3,0.3,"phi (r)","own",300,300,0,0.0121964730797142,0.00849917445939966,0.14721001986072,0.00601986537858142,0.134040597683612,0.910539906253881,0.0372347457235627,0.147469684805001,0.936666666666667,0.0140620318852128,0.525984163071465,"03a_2x2_to_cor_CAT",300
0.5,50,0.3,0.3,"phi (r)","own",300,300,0,-0.00114209644682363,0.00777934325510569,0.134742177673613,0.00551001739677426,0.122841340470509,0.911676971468197,0.0372812437779976,0.134522268219952,0.942567567567568,0.013523496586438,0.491150532293526,"03a_2x2_to_cor_CAT",300
0.75,50,0.3,0.3,"phi (r)","own",300,300,0,0.0015981842994837,0.00619795377109337,0.107351708344968,0.00438993781135875,0.098238967162642,0.915113216894107,0.0374217623031043,0.107184555075298,0.926070038910506,0.0163217076268157,0.417715121789842,"03a_2x2_to_cor_CAT",300
0,100,0.3,0.3,"phi (r)","own",300,300,0,0.0116539247309412,0.00595441719286836,0.103133531075097,0.00421744371529351,0.0988114793476953,0.958092662179344,0.0391793225215461,0.103618937021886,0.922558922558923,0.0155097402833199,0.386393092260469,"03a_2x2_to_cor_CAT",300
0.1,100,0.3,0.3,"phi (r)","own",300,300,0,0.00752186327404788,0.00599934193291767,0.103911650397919,0.00424926338066884,0.0983376628478368,0.946358396496091,0.0386994727137917,0.104010660087823,0.946308724832215,0.0130575034535089,0.384685054363106,"03a_2x2_to_cor_CAT",300
0.25,100,0.3,0.3,"phi (r)","own",300,300,0,0.000266693012463112,0.00540408047790431,0.0936014195592136,0.00382764668820573,0.0964992238677719,1.03095897821,0.0421590477709055,0.0934456675445746,0.966666666666667,0.010363754503432,0.378180616808196,"03a_2x2_to_cor_CAT",300
0.5,100,0.3,0.3,"phi (r)","own",300,300,0,-0.00287693475159066,0.00525456829922767,0.091011792661031,0.00372174896926947,0.0880098769074611,0.967016189157483,0.0395442326761766,0.0909055150633236,0.943333333333333,0.0133486023682326,0.348056769186261,"03a_2x2_to_cor_CAT",300
0.75,100,0.3,0.3,"phi (r)","own",300,300,0,0.00175443756379913,0.00414909615442683,0.0718644534495591,0.00293875604174898,0.0686375953416803,0.955097994168373,0.0390568614397757,0.0717660276305609,0.946488294314381,0.0130150675531153,0.281640936129678,"03a_2x2_to_cor_CAT",300
0,300,0.3,0.3,"phi (r)","own",300,300,0,-0.00272121127537962,0.00356158614694571,0.0616884816204345,0.00252262960847001,0.0575004008031457,0.932109192716758,0.038116779439348,0.0616456718639502,0.94314381270903,0.0133919010689227,0.225196761015542,"03a_2x2_to_cor_CAT",300
0.1,300,0.3,0.3,"phi (r)","own",300,300,0,0.00816336517084022,0.00328350443744735,0.0568719651253668,0.00232566760193366,0.0572771398667259,1.00712433165385,0.0411843765919339,0.0573609583841021,0.953333333333333,0.0121776966745069,0.224350014205507,"03a_2x2_to_cor_CAT",300
0.25,300,0.3,0.3,"phi (r)","own",300,300,0,0.000595933825365316,0.00358126219096762,0.0620292806998135,0.00253656591919769,0.0561807010183859,0.905712598704288,0.0370373424379912,0.0619286796434416,0.92,0.015663120165961,0.220184786522722,"03a_2x2_to_cor_CAT",300
0.5,300,0.3,0.3,"phi (r)","own",300,300,0,0.00014109456406799,0.00318095662805382,0.055095784964622,0.0022530341937872,0.0511360947467441,0.928130795841815,0.0379540906928049,0.0550040629724233,0.943333333333333,0.0133486023682326,0.200995663084546,"03a_2x2_to_cor_CAT",300
0.75,300,0.3,0.3,"phi (r)","own",300,300,0,0.000477603851454547,0.00235856586406177,0.0408515590955258,0.00167054448123099,0.0398490186289654,0.975458942357228,0.0398894825289729,0.0407862127812702,0.96,0.0113137084989848,0.158385778697578,"03a_2x2_to_cor_CAT",300
0,25,0.5,0.3,"phi (r)","own",300,300,0,-0.00757175952099334,0.0121078111235832,0.209713440344937,0.00857582031542505,0.189883729674834,0.905443777768909,0.0370263495324576,0.209500500031262,0.958188153310105,0.0118150108512687,0.740385879024638,"03a_2x2_to_cor_CAT",300
0.1,25,0.5,0.3,"phi (r)","own",300,300,0,0.0133268170509089,0.010912463841525,0.189009418092795,0.00772916988448992,0.189701365545346,1.00366091520483,0.041042746961065,0.189164167625353,0.982332155477032,0.0078311897459475,0.739907159935919,"03a_2x2_to_cor_CAT",300
0.25,25,0.5,0.3,"phi (r)","own",300,300,0,0.0156428779862176,0.0110734146740267,0.19179716828693,0.00784316946749173,0.186075557191059,0.970168427683397,0.0396731372954758,0.1921151552638,0.977611940298508,0.00903699578686671,0.731696162379794,"03a_2x2_to_cor_CAT",300
0.5,25,0.5,0.3,"phi (r)","own",300,300,0,-0.00485048792930201,0.00949596143420066,0.164474876707502,0.00672587787757056,0.176715366852437,1.07442164049591,0.0439363682019707,0.164272149244905,0.967741935483871,0.0129551504661693,0.710214826201312,"03a_2x2_to_cor_CAT",300
0,50,0.5,0.3,"phi (r)","own",300,300,0,-0.0120716876074166,0.00835731316422103,0.14475291015195,0.00591938669050577,0.137744941973736,0.951586685401643,0.0389132733463949,0.145014778404909,0.945578231292517,0.013230047202243,0.537747996776282,"03a_2x2_to_cor_CAT",300
0.1,50,0.5,0.3,"phi (r)","own",300,300,0,0.00560837052072648,0.00822089782804261,0.142390127220024,0.00582276531118348,0.137138509411065,0.96311810438343,0.0393848281356684,0.142263203213387,0.938566552901024,0.0140281748034356,0.53575116721501,"03a_2x2_to_cor_CAT",300
0.25,50,0.5,0.3,"phi (r)","own",300,300,0,-0.00792991266158601,0.00741110064371026,0.128364028549126,0.00524919548308757,0.135811249714444,1.05801641822473,0.0432655087749314,0.128395026879665,0.962962962962963,0.0109583378345506,0.532299204958414,"03a_2x2_to_cor_CAT",300
0.5,50,0.5,0.3,"phi (r)","own",300,300,0,-0.0126150598423411,0.006730841890385,0.116581601318598,0.00476737620320553,0.131646951053783,1.12922579176121,0.0461774766069327,0.117068805701096,0.97265625,0.0101926883521231,0.525698811119405,"03a_2x2_to_cor_CAT",300
0,100,0.5,0.3,"phi (r)","own",300,300,0,-0.00573980440085687,0.00589052313537064,0.102026853536219,0.00417218830531634,0.0986579079376575,0.966979814805665,0.0395427452183162,0.102018262748651,0.953177257525084,0.0122174245409932,0.385790562887987,"03a_2x2_to_cor_CAT",300
0.1,100,0.5,0.3,"phi (r)","own",300,300,0,0.00377894880134812,0.00584603831585541,0.10125635386056,0.00414068023048491,0.0983030615705155,0.970833511405012,0.0397003345913759,0.101158061899127,0.946308724832215,0.0130575034535089,0.384542875136928,"03a_2x2_to_cor_CAT",300
0.25,100,0.5,0.3,"phi (r)","own",300,300,0,0.00641075855558124,0.00562893671281809,0.0974960437919068,0.00398690971665418,0.0966921079838333,0.991754169945712,0.0405558439389423,0.0975443050711545,0.963333333333333,0.0108508405545718,0.379026021196929,"03a_2x2_to_cor_CAT",300
