"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,100,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00640949998647011,0.00462485429167912,0.146250734081108,0.00327190219193438,0.145965264431285,0.998048080567824,0.022328200422261,0.146318042742924,0.956,0.00648567652600714,0.558381981409769,"09b_or_to_cor_CAT",1000
0.5,100,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,998,998,970,0.002,0.00110161456547213,0.00321258536681856,0.101489227653079,0.00227277985065821,536.567598770674,5286.94139445838,118.397332907196,0.101444350160718,0.961855670103093,0.00615012697829045,0.377747437768581,"09b_or_to_cor_CAT",1000
0,300,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.000128574774597143,0.00292017327310077,0.0923439870534734,0.0020659075357848,0.0950165368579314,1.02894124338502,0.0230193381985768,0.0922978930662006,0.956,0.00648567652600714,0.368187038061437,"09b_or_to_cor_CAT",1000
0.1,300,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00196012010847454,0.00311777467568679,0.0985926920636304,0.00220570274261191,0.093260137455689,0.945913287320526,0.0211618476830858,0.098562875771079,0.939,0.00756828910652864,0.361566444179662,"09b_or_to_cor_CAT",1000
0.25,300,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.000481914372109327,0.00270695727126995,0.0856015050596733,0.00191506561520779,0.0842476936227888,0.98418472390245,0.0220180512298757,0.0855600507963549,0.936,0.0077397674383666,0.327548038092194,"09b_or_to_cor_CAT",1000
0.5,300,0.3,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.000595419081475957,0.00169913139529244,0.0537312525302401,0.00120206851633015,0.0535697335921119,0.996993948018664,0.0223046175074821,0.0537076807808022,0.949,0.00695693898205238,0.211312135586687,"09b_or_to_cor_CAT",1000
0,25,0.5,0.5,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,994,0,0.00349181302668009,0.0107532931778927,0.340048987896912,0.00760753124321376,1070.46932790676,3147.98563150343,70.4263206103424,0.339896857316683,0.94466800804829,0.00725161208874828,1.05695789208271,"09b_or_to_cor_CAT",1000
0.1,25,0.5,0.5,"CAT","2x2_tetrachoric (r)","own",1000,999,999,996,0.001,0.00751327732787211,0.00977988860551389,0.309112560267493,0.00691888932680638,208.545955304459,674.660243905948,15.1009701991471,0.309049151479491,0.961847389558233,0.00606995603140076,1.05203418651,"09b_or_to_cor_CAT",1000
0.25,25,0.5,0.5,"CAT","2x2_tetrachoric (r)","own",1000,998,998,985,0.002,-0.00294307452912607,0.00908596521128031,0.287035980833335,0.00642796884691956,153.573114728698,535.030884570073,11.9816402395669,0.286907234514605,0.96751269035533,0.0056489417145279,0.993741939072935,"09b_or_to_cor_CAT",1000
0.5,25,0.5,0.5,"CAT","2x2_tetrachoric (r)","own",1000,989,989,926,0.011,-0.00696622086509421,0.0064217667820884,0.20195410030226,0.00454317227120854,296.375170172672,1467.53727569331,33.0138117914716,0.201972146033637,0.967602591792657,0.00581832735466447,0.806473447057432,"09b_or_to_cor_CAT",1000
