r	n	method	bias_ci	bias_es	bias_var	br
r=0.5	n=25	Lipsey (r)	0.839063003359566	-0.103313460680909	0.416597150468092	br=
r=0.5	n=25	Tetrachoric (r)	0.953822222222222	-0.0266125812077051	1.01333046621631	br=
r=0.5	n=25	Cooper (z)	0.994044444444444	-0.185697050216308	2.01297162982099	br=
r=0.5	n=25	Lipsey (z)	0.89350637397027	-0.139343193926591		br=
r=0.5	n=25	Tetrachoric (z)	0.991288888888889	0.00425923604223819	1.03610749403399	br=
r=0.5	n=50	Cooper (r)	0.998444444444445	-0.142786949245124	2.40243323097289	br=
r=0.5	n=50	Lipsey (r)	0.733577620877648	-0.125843348475769	0.46071872107648	br=
r=0.5	n=50	Tetrachoric (r)	0.962133333333333	-0.0127734308810721	0.980785053688154	br=
r=0.5	n=50	Cooper (z)	0.997333333333333	-0.174025493265443	2.57221221551539	br=
r=0.5	n=50	Lipsey (z)	0.805299848065064	-0.128879368602395		br=
r=0.5	n=50	Tetrachoric (z)	0.990488888888889	0.0074540767360521	0.985846312796734	br=
r=0.5	n=75	Cooper (r)	0.999511111111111	-0.140106058924554	2.87833568666527	br=
r=0.5	n=75	Lipsey (r)	0.692888412400608	-0.127108285200436	0.47491726931105	br=
r=0.5	n=75	Tetrachoric (r)	0.965111111111111	-0.00605310157420634	0.970004179770338	br=
r=0.5	n=75	Cooper (z)	0.9992	-0.170866389565203	3.05821973736581	br=
r=0.5	n=75	Lipsey (z)	0.780487804878049	-0.147197580411589		br=
r=0.5	n=75	Tetrachoric (z)	0.990844444444445	0.0092194666493139	0.953662571337147	br=
r=0.5	n=100	Cooper (r)	0.999466666666667	-0.140495429939873	3.28965823090878	br=
r=0.5	n=100	Lipsey (r)	0.628235398939725	-0.132616098859388	0.463003217538814	br=
r=0.5	n=100	Tetrachoric (r)	0.967688888888889	-0.00498799729800097	0.984007110454122	br=
r=0.5	n=100	Cooper (z)	0.999377777777778	-0.17156227554847	3.50748489653863	br=
r=0.5	n=100	Lipsey (z)	0.727491424243774	-0.151648962682657		br=
r=0.5	n=100	Tetrachoric (z)	0.989777777777778	0.00626703138145286	0.971227353611225	br=
r=0.5	n=300	Cooper (r)	0.999777777777778	-0.14068831262097	5.59822251509304	br=
r=0.5	n=300	Lipsey (r)	0.407377777777778	-0.137028311899101	0.327720543228685	br=
r=0.5	n=300	Tetrachoric (r)	0.976044444444445	-0.00137223204891377	0.983659670414397	br=
r=0.5	n=300	Cooper (z)	0.999955555555556	-0.172716516555515	6.14724432380968	br=
r=0.5	n=300	Lipsey (z)	0.550488888888889	-0.163589138784536	0.318206784847495	br=
r=0.5	n=300	Tetrachoric (z)	0.989288888888889	0.0023893290906266	0.975038141096269	br=
