"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0086171382493618,0.0328304056470429,1.0381885835191,0.0232262184760971,1.10885899908694,1.06807088489482,0.0238947413931653,1.03770513850807,0.967,0.00564898220921256,4.31462758903558,"05_rr_to_or",1000
0.5,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.129149244415923,0.0335576838148441,1.06118713854676,0.02374073912503,1.04118784379854,0.981153847401877,0.0219502448593436,1.0684903145126,0.955,0.00655553201502365,4.02884486616067,"05_rr_to_or",1000
0.75,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.112474209713177,0.0313020142477748,0.989856603740106,0.022144941779792,0.956809093358771,0.966613840574011,0.0216249577384977,0.995734265616351,0.955,0.00655553201502365,3.68640438565432,"05_rr_to_or",1000
1,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0586109488991885,0.0296804949886737,0.938579662454222,0.0209977807918962,0.897016164580114,0.955716600799311,0.0213811661231674,0.939939409920008,0.96,0.00619677335393187,3.45983015579651,"05_rr_to_or",1000
2,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0639350998852189,0.0243670465530653,0.770553669590413,0.0172387253737664,0.782213785406605,1.01513212677631,0.022710402457607,0.772817508703617,0.973,0.00512552436341883,3.01767989995524,"05_rr_to_or",1000
0.25,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.145430928353076,0.0287567059587057,0.90936688833246,0.0203442364505155,0.918432577476731,1.00996923162762,0.0225948988462243,0.920473434912438,0.956,0.00648567652600714,3.53599636525165,"05_rr_to_or",1000
0.5,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0743533885393527,0.0252635249075207,0.7989028043216,0.0178729484882636,0.754078166247792,0.943892250932989,0.0211166333227757,0.80195752471652,0.957,0.00641490451994416,2.89302956987513,"05_rr_to_or",1000
0.75,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0211975874162332,0.0216991651106475,0.686187850737058,0.0153513043678824,0.64575208261058,0.941071868172769,0.0210535360905243,0.686172172595853,0.96,0.00619677335393187,2.50039531516796,"05_rr_to_or",1000
1,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.034993800118733,0.0197134185222249,0.623393029983815,0.0139464668950618,0.5949050777822,0.954301779404954,0.0213495139249718,0.624063151459304,0.96,0.00619677335393187,2.30904252343266,"05_rr_to_or",1000
2,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0288170835612684,0.0171664071387194,0.542849458001274,0.0121445566935735,0.522960550932497,0.963362020951432,0.0215522084574924,0.543342684521658,0.953,0.00669260786241059,2.03722085012795,"05_rr_to_or",1000
0.25,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0751132804902082,0.0165168822949848,0.522309678970609,0.0116850434579339,0.529744506079332,1.01423451911398,0.0226903212970144,0.527424495308699,0.965,0.00581162627841812,2.03538950595129,"05_rr_to_or",1000
0.5,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0240699927000974,0.0132317317977961,0.418424098695101,0.00936092891622291,0.398527283208527,0.952448208531431,0.0213080460811206,0.418906925451253,0.952,0.00675988165576884,1.55278656548853,"05_rr_to_or",1000
0.75,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.00385500653591729,0.0112543004652117,0.355892229419617,0.00796197415928649,0.352415256181568,0.990230263684827,0.0221533012509417,0.355735127247361,0.948,0.00702111102319284,1.37756039575287,"05_rr_to_or",1000
1,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0139826511286559,0.0108167306286063,0.342055056229009,0.00765241074015577,0.329444790206249,0.963133811960617,0.0215471029959578,0.342169803406035,0.951,0.00682634602111555,1.28884803524315,"05_rr_to_or",1000
2,300,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.012717301225093,0.00930857115935518,0.294362866253165,0.00658544733719893,0.293542902089669,0.997214444287985,0.0223095504210256,0.29449036874268,0.949,0.00695693898205238,1.14903113721449,"05_rr_to_or",1000
0.25,50,0.3,0.01,0.5,"dipietrantonj","population",1000,997,0.003,-0.247132114250725,0.0333818281144247,1.05404146451466,0.0236163637124368,0.956330086497086,0.907298354659541,0.0203285057188916,1.08211059710271,0.906720160481444,0.00921049459529825,3.68997543226627,"05_rr_to_or",1000
0.5,50,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0687436562328808,0.0258774274267253,0.818316106541619,0.0183072603328191,0.775930358572096,0.94820369826441,0.0212130884555497,0.820790654946482,0.961,0.00612200947402077,2.99933248448359,"05_rr_to_or",1000
0.75,50,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0371846959941866,0.023787834208091,0.752237367000354,0.0168289554606847,0.692875580494063,0.921086363014637,0.0206064229970779,0.752780111899547,0.96,0.00619677335393187,2.69393531894516,"05_rr_to_or",1000
