"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"lik5_sym",200,20,"congeneric","omega","centred",1000,1000,1000,1000,0,5.24005887509241e-17,0.00304211727815936,0.0962001950833557,0.00215217811476549,0.103114704148291,1.07187624784902,0.0239798744727986,0.0961520829547733,0.966,0.00573096850453743,0.404202212814306,"11a_alpha_vs_omega",1000
"lik7_skew",200,20,"congeneric","omega","centred",1000,1000,1000,1000,0,2.09158347109009e-16,0.00348334796850071,0.110153134633827,0.00246433144367662,0.103114704148291,0.936103221129991,0.0209423781722249,0.110098044290479,0.94,0.00750999334220744,0.404202212814306,"11a_alpha_vs_omega",1000
"bin_10",1000,20,"congeneric","omega","centred",1000,1000,1000,1000,0,2.25561485722031e-19,0.00242309969881928,0.0766251404593695,0.0017142475666977,0.0459290988605156,0.599399865177011,0.013409694966934,0.0765868183062052,0.764,0.0134277324965908,0.18003875921798,"11a_alpha_vs_omega",1000
"cont_kurt8",1000,20,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.1901517640335e-16,0.00310292727144346,0.0981231759161286,0.00219519878909802,0.0459290988605156,0.468075950780209,0.0104717336222066,0.098074102056637,0.635,0.0152241584332271,0.180038759217981,"11a_alpha_vs_omega",1000
"cont_normal",1000,20,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.44339596359704e-16,0.00146850294361707,0.0464381405249177,0.00103890797353928,0.0459290988605156,0.989038284938887,0.0221266344591742,0.0464149156469834,0.949,0.00695693898205238,0.180038759217981,"11a_alpha_vs_omega",1000
"lik5_sev",1000,20,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.58539380354285e-16,0.00187268111812836,0.0592193766447645,0.00132484810737112,0.0459290988605156,0.77557552042514,0.0173510735603034,0.0591897595503165,0.872,0.0105648473723003,0.180038759217981,"11a_alpha_vs_omega",1000
"lik5_skew",1000,20,"congeneric","omega","centred",1000,1000,1000,1000,0,1.45660285048865e-16,0.0015193887878325,0.0480472922087302,0.00107490770341756,0.0459290988605156,0.955914407433979,0.021385591427188,0.0480232625537095,0.934,0.00785136930732467,0.180038759217981,"11a_alpha_vs_omega",1000
"lik5_sym",1000,20,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.03934557764722e-16,0.00143058665874549,0.0452391223188578,0.00101208369589564,0.0459290988605156,1.01525176675168,0.0227130790274041,0.0452164970999789,0.953,0.00669260786241059,0.180038759217981,"11a_alpha_vs_omega",1000
"lik7_skew",1000,20,"congeneric","omega","centred",1000,1000,1000,1000,0,-9.05980849965748e-17,0.00148241880144131,0.0468781985881143,0.00104875289466461,0.0459290988605156,0.979753920667094,0.0219189258825134,0.0468547536261137,0.947,0.00708456067798138,0.180038759217981,"11a_alpha_vs_omega",1000
"bin_10",200,3,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00214826166848394,0.00568324637297648,0.179720030424965,0.00402067288876547,0.123091490979333,0.684906911534965,0.0153226473644876,0.179642993391924,0.826,0.0119884944842962,0.482509778245658,"11a_alpha_vs_omega",1000
"cont_kurt8",200,3,"congeneric","alpha","population",1000,1000,1000,1000,0,0.0190815326900597,0.00565482395263487,0.178821234576023,0.00400056514621818,0.123091490979333,0.688349408117985,0.0153996624453792,0.179747494533747,0.813,0.0123300851578568,0.482509778245658,"11a_alpha_vs_omega",1000
"cont_normal",200,3,"congeneric","alpha","population",1000,1000,1000,1000,0,0.0146725092023586,0.00372282168359978,0.11772595842838,0.00263374966183606,0.123091490979333,1.04557646098262,0.0233914990992578,0.118578347150254,0.951,0.00682634602111555,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_sev",200,3,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00470335288311165,0.00474008554244193,0.149894666181512,0.00335342376173356,0.123091490979333,0.821186597995938,0.0183714785901859,0.149893509089154,0.897,0.00961202372032029,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_skew",200,3,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.0036443477681146,0.00420574766417715,0.132997418827327,0.00297540076579322,0.123091490979333,0.925517893991193,0.0207055646253707,0.132980849643743,0.929,0.00812151463706124,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_sym",200,3,"congeneric","alpha","population",1000,1000,1000,1000,0,0.00228569855872262,0.00376145456069319,0.118947637270185,0.00266108090024288,0.123091490979333,1.03483762943298,0.023151251371909,0.118910118533491,0.965,0.00581162627841812,0.482509778245658,"11a_alpha_vs_omega",1000
