"rho","n","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,100,0.7,"lipsey_cooper","own",1000,1000,0,-0.00659208213486806,0.00311020802522916,0.0983534135665859,0.00220034963553944,0.0947782466077864,0.963649792832262,0.0215586464521704,0.0985250024770999,0.94,0.00750999334220744,0.375749678440184,"01a_smd_to_cor_r",1000
0.5,100,0.7,"lipsey_cooper","own",1000,1000,0,-0.00680139167595524,0.00264783498982534,0.0837318943613685,0.00187323893050578,0.0826503436858116,0.987083169635586,0.0220828948766925,0.0839659337585177,0.945,0.00720936890441875,0.32677583319129,"01a_smd_to_cor_r",1000
0.75,100,0.7,"lipsey_cooper","own",1000,1000,0,-0.00504738293250443,0.00193241305846789,0.0611082664501065,0.0013671061017207,0.0626875445206199,1.02584393507224,0.0229500456242771,0.0612859044379375,0.953,0.00669260786241059,0.247012905039112,"01a_smd_to_cor_r",1000
0,300,0.7,"lipsey_cooper","own",1000,1000,0,0.000780145539027816,0.00180649315890707,0.0571263295965884,0.00127802273403008,0.0575009408840413,1.0065575941969,0.0225185741422304,0.0571030887317572,0.953,0.00669260786241059,0.226315307064179,"01a_smd_to_cor_r",1000
0.1,300,0.7,"lipsey_cooper","own",1000,1000,0,-0.00441133017703627,0.00173280592125475,0.0547961345419138,0.00122589191667093,0.0571552225658659,1.04305208832108,0.0233350241660108,0.0549460970252266,0.954,0.00662449998113065,0.224944499053747,"01a_smd_to_cor_r",1000
0.25,300,0.7,"lipsey_cooper","own",1000,1000,0,0.000954144381862254,0.00169737775728359,0.0536757976272461,0.00120082788653229,0.0549494666525858,1.02372892591527,0.022902728917526,0.0536574370536983,0.956,0.00648567652600714,0.216198161313848,"01a_smd_to_cor_r",1000
0.5,300,0.7,"lipsey_cooper","own",1000,1000,0,-0.000479970074443821,0.00152687349042385,0.0482839792867067,0.00108020283560339,0.047561791629457,0.985042913448343,0.0220372505335506,0.0482622179802765,0.939,0.00756828910652864,0.186945787744197,"01a_smd_to_cor_r",1000
0.75,300,0.7,"lipsey_cooper","own",1000,1000,0,-0.00313175437864804,0.00114085159697845,0.0360768951869236,0.000807107555267516,0.0359992569871623,0.997847980006066,0.0223237237988051,0.03619459503089,0.949,0.00695693898205238,0.141324755640228,"01a_smd_to_cor_r",1000
0,25,0.3,"viechtbauer","own",1000,995,0.005,0.00695517110326343,0.00874090217221222,0.27571970174484,0.00618385944788193,0.259615720311185,0.941592924510856,0.0211181075035535,0.275668868326757,0.930653266331658,0.00805369943384575,0.955391088925981,"01a_smd_to_cor_r",1000
0.1,25,0.3,"viechtbauer","own",1000,999,0.001,-0.00620258402733008,0.00835723147629347,0.264146691500011,0.00591241495638067,0.259412328335978,0.982076765235454,0.0219818969608098,0.264087302536623,0.942942942942943,0.00733862416953931,0.953891729951039,"01a_smd_to_cor_r",1000
0.25,25,0.3,"viechtbauer","own",1000,998,0.002,0.00588723038725433,0.00825701489903781,0.260848497125911,0.00584151857346664,0.250125638040699,0.958892386947369,0.0214737203780209,0.260784239630075,0.934869739478958,0.00781091098055762,0.921535844982853,"01a_smd_to_cor_r",1000
0.5,25,0.3,"viechtbauer","own",1000,998,0.002,0.00539276538484403,0.00713929062655095,0.225538315390218,0.00505077189593463,0.217202149361423,0.963038803343139,0.0215665764559976,0.225489787256326,0.925851703406814,0.00829384726833912,0.804144444745691,"01a_smd_to_cor_r",1000
0.75,25,0.3,"viechtbauer","own",1000,999,0.001,0.0166051370210627,0.00553462479992424,0.174932671631861,0.00391553094321381,0.159618118360544,0.91245458536444,0.0204235385531097,0.175631825441954,0.915915915915916,0.00878015045029153,0.596930298104406,"01a_smd_to_cor_r",1000
0,50,0.3,"viechtbauer","own",1000,1000,0,-0.00724569423041747,0.00623594593861256,0.197197925316922,0.00441168605506985,0.1845681679939,0.935953903659359,0.0209390376614061,0.197232438539987,0.932,0.00796090447122687,0.700137906121849,"01a_smd_to_cor_r",1000
