"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.3,300,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00170126135635882,0.00361168513960531,0.11421151232536,0.00255512493574388,0.115609042607137,1.01223633461569,0.0226456181761657,0.11416706866825,0.958,0.00634318531969546,0.455030888655571,"07b_ancova_to_smd_g",1000
0.8,300,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00100029367033877,0.00375933236475967,0.118880527542275,0.00265957953023451,0.117607991774325,0.989295675294702,0.0221323927623695,0.118825282816107,0.954,0.00662449998113065,0.462885444917706,"07b_ancova_to_smd_g",1000
0,100,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00398607248862333,0.00650718851917692,0.205775368846973,0.00460357949385151,0.198981326402651,0.966983208523003,0.0216332211896833,0.20571107820331,0.945,0.00720936890441875,0.789839294885682,"07b_ancova_to_smd_g",1000
0.3,100,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.0050099085016681,0.00657240382993614,0.207837658050121,0.00464971675672803,0.199596646175961,0.960348803236738,0.0214847971469959,0.207794116362448,0.949,0.00695693898205238,0.792269562208205,"07b_ancova_to_smd_g",1000
0.8,100,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00844945783734218,0.00653933697128013,0.206791992165923,0.00462632325706434,0.203319314363887,0.983206903876384,0.0219961755688289,0.206861205724206,0.951,0.00682634602111555,0.806970284500717,"07b_ancova_to_smd_g",1000
0,300,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00107471485180322,0.00366664461453397,0.115949483523175,0.00259400659885058,0.115275317878841,0.994185695150606,0.0222417916435831,0.115896477334621,0.951,0.00682634602111555,0.453719489808097,"07b_ancova_to_smd_g",1000
0.3,300,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00443826260244707,0.00371714719377253,0.117546515304244,0.00262973518385839,0.11562782552632,0.983677187086676,0.0220066966829707,0.117571528236385,0.94,0.00750999334220744,0.455104637069867,"07b_ancova_to_smd_g",1000
0.8,300,0.3,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.000171684477366649,0.0038309088694863,0.121143975361174,0.00271021708721169,0.117846964641609,0.972784360842253,0.0217630038065594,0.121083509938811,0.944,0.00727076337120113,0.463823801740406,"07b_ancova_to_smd_g",1000
0,100,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00269842620687513,0.00607429803665968,0.192086169825336,0.00429732653337145,0.198912846301359,1.03553965640645,0.0231669570270479,0.192009065008722,0.968,0.00556560868189635,0.789569703613545,"07b_ancova_to_smd_g",1000
0.3,100,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00256650546390569,0.00656968788327908,0.207751772275723,0.00464779533147655,0.199742972241293,0.961450148190309,0.0215094362914782,0.207663730668397,0.94,0.00750999334220744,0.792846609789233,"07b_ancova_to_smd_g",1000
0.8,100,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00828693397386186,0.00645601784636276,0.204157210092013,0.00456737825896188,0.20423479177076,1.00038000949715,0.0223803700296358,0.204223308025331,0.956,0.00648567652600714,0.810588526046118,"07b_ancova_to_smd_g",1000
0,300,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00483992289983142,0.00366546229516206,0.115912095301805,0.00259317015447838,0.115275416263683,0.994507225182463,0.0222489848711769,0.115955177017215,0.948,0.00702111102319284,0.453719918843638,"07b_ancova_to_smd_g",1000
0.3,300,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00287832907584792,0.00371547036115689,0.117493489201042,0.00262854889085009,0.115729790693823,0.984988968161454,0.0220360436766858,0.117469996436961,0.947,0.00708456067798138,0.455505462989471,"07b_ancova_to_smd_g",1000
0.8,300,0.5,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.0049243530036483,0.00380154890715722,0.120215531831408,0.00268944607064746,0.118432583397877,0.985168734801829,0.0220400653923262,0.120256274563614,0.949,0.00695693898205238,0.466125176301996,"07b_ancova_to_smd_g",1000
0,100,0.7,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00933260960925705,0.00637974092384264,0.201745122011296,0.00451341534159244,0.198961605523017,0.986202806489054,0.0220631995081398,0.201860077190157,0.948,0.00702111102319284,0.789762638944924,"07b_ancova_to_smd_g",1000
0.3,100,0.7,0.7,0.15,"ancova_md_sd","own",1000,1000,0,0.00688064859164862,0.00645021557694597,0.203973726222464,0.00456327338195913,0.200151642659812,0.981261882922689,0.0219526618158093,0.203987791382546,0.95,0.00689202437604511,0.794462111224066,"07b_ancova_to_smd_g",1000
