"rho","n","p_split","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.3,"cooper","own",1000,1000,0,0.00484930378834964,0.00974342404812179,0.308114122009229,0.00689308862278156,0.298518036911047,0.968855419428341,0.0216751060458752,0.307998203917764,0.954,0.00662449998113065,1.19954472900793,"02b_cor_to_smd_CONT",1000
0.5,50,0.3,"cooper","own",1000,1000,0,0.0236717845582905,0.010761892721217,0.340320929334333,0.00761361508129339,0.335159537036918,0.984833749991484,0.0220325711561973,0.340973415374594,0.947,0.00708456067798138,1.3439696739752,"02b_cor_to_smd_CONT",1000
0.75,50,0.3,"cooper","own",1000,1000,0,0.0337095422192969,0.0139830124043964,0.4421816774828,0.0098924303449092,0.440134828592863,0.995371022830278,0.0222683096385706,0.443244226699272,0.945,0.00720936890441875,1.75945709425662,"02b_cor_to_smd_CONT",1000
0,100,0.3,"cooper","own",1000,1000,0,-0.00519572772198153,0.00643300323071013,0.203429424042656,0.00455109632516434,0.202044328135037,0.993191270564042,0.0222195445074922,0.203394057490187,0.946,0.00714730718522718,0.801877414954856,"02b_cor_to_smd_CONT",1000
0.1,100,0.3,"cooper","own",1000,1000,0,0.0123022215276279,0.00633192491005807,0.200233046889403,0.00447958739579255,0.203145821238776,1.01454692117321,0.0226973103148049,0.200510659188139,0.956,0.00648567652600714,0.806206089134825,"02b_cor_to_smd_CONT",1000
0.25,100,0.3,"cooper","own",1000,1000,0,0.00597157033957805,0.00644662453743101,0.203860167582114,0.00456073286298939,0.208757438544165,1.0240226966363,0.0229093011174683,0.203845698043892,0.96,0.00619677335393187,0.828262702147416,"02b_cor_to_smd_CONT",1000
0.5,100,0.3,"cooper","own",1000,1000,0,0.0135515689512248,0.0075201665393541,0.237808546481452,0.00532022153175575,0.234010043343066,0.984027053717842,0.0220145238532382,0.238075611720061,0.953,0.00669260786241059,0.927495080503806,"02b_cor_to_smd_CONT",1000
0.75,100,0.3,"cooper","own",1000,1000,0,0.0267952677879544,0.0102743782014019,0.324904366584141,0.00726871776661411,0.307655919655932,0.94691223417663,0.0211841959907962,0.32584547097335,0.946,0.00714730718522718,1.21717936159799,"02b_cor_to_smd_CONT",1000
0,300,0.3,"cooper","own",1000,1000,0,0.00903762050885841,0.00380638208608247,0.120368370368837,0.00269286535430965,0.115873240258961,0.962655221665771,0.0215363960368127,0.120647149262328,0.938,0.00762600813007697,0.45606542584194,"02b_cor_to_smd_CONT",1000
0.1,300,0.3,"cooper","own",1000,1000,0,0.00199638369839617,0.00354317238373352,0.112044948752061,0.00250665486036968,0.116437534301454,1.03920378025353,0.0232489303239486,0.112006705237598,0.963,0.00596917079668525,0.458279057340385,"02b_cor_to_smd_CONT",1000
0.25,300,0.3,"cooper","own",1000,1000,0,-0.00257784999323437,0.00374460366308264,0.118414765099509,0.0026491595541094,0.119615031248726,1.01013611898996,0.0225986324283502,0.118383613087141,0.957,0.00641490451994416,0.470745932972613,"02b_cor_to_smd_CONT",1000
0.5,300,0.3,"cooper","own",1000,1000,0,-0.00565492067744277,0.00420904231844139,0.133101604943105,0.00297773160387567,0.133614582655476,1.00385403100579,0.022458090382018,0.13315517011765,0.951,0.00682634602111555,0.525677512446572,"02b_cor_to_smd_CONT",1000
0.75,300,0.3,"cooper","own",1000,1000,0,0.0123480174520034,0.00555906822668942,0.175793172646118,0.00393282174289089,0.175696295577422,0.999448914498568,0.0223595396947599,0.17613860974935,0.949,0.00695693898205238,0.690868682576332,"02b_cor_to_smd_CONT",1000
