"delta","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,100,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,0.00372418181014517,0.00531027245169216,0.167925559433937,0.00375680853464297,0.164814086363363,0.981471116838545,0.021957342769462,0.167882887894641,0.942,0.00739161687318817,0.654113047616618,"02a_cor_to_smd_GROUPS",1000
0.8,100,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,0.00904653972190038,0.00488116557157314,0.154356008425688,0.00345323232378558,0.162607241499501,1.05345585933434,0.0235677759630978,0.154543817219304,0.966,0.00573096850453743,0.645323164199627,"02a_cor_to_smd_GROUPS",1000
1.2,100,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,0.000245282672474101,0.00456563036744284,0.144377909155508,0.00323000359896199,0.158006015282091,1.09439190667254,0.0244835918313498,0.14430591060332,0.967,0.00564898220921256,0.626966941377057,"02a_cor_to_smd_GROUPS",1000
0,300,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,-0.00123614342808188,0.00306842166605482,0.097032012865418,0.00217078743280768,0.0957049845499932,0.986323809264213,0.0220659065663146,0.0969913622946328,0.955,0.00655553201502365,0.376686398845707,"02a_cor_to_smd_GROUPS",1000
0.2,300,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,-0.00211050251892202,0.00311509451599074,0.0985079379723054,0.00220380663522534,0.0955936469511199,0.970415673283052,0.0217100118399505,0.0984812888349578,0.949,0.00695693898205238,0.376247736271105,"02a_cor_to_smd_GROUPS",1000
0.5,300,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,-0.000640268464333849,0.00304886067586122,0.0964134400424182,0.00215694880294944,0.0949813663194033,0.985146534317364,0.022039568726007,0.096367348272631,0.949,0.00695693898205238,0.373835177010498,"02a_cor_to_smd_GROUPS",1000
0.8,300,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,0.00408843789397954,0.00288058011336607,0.0910919414082282,0.00203789693524445,0.0937390257200704,1.02905947848865,0.0230219833387682,0.0911381334686173,0.958,0.00634318531969546,0.368938549597291,"02a_cor_to_smd_GROUPS",1000
1.2,300,0.3,"biserial_split_p","own",1000,1000,1000,1000,0,0.00465408474830752,0.00263412210642708,0.0832982549131004,0.00186353760578962,0.0910277447632189,1.09279293855774,0.0244478199269386,0.0833865767203614,0.958,0.00634318531969546,0.358250312161811,"02a_cor_to_smd_GROUPS",1000
0,25,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.018444767693474,0.0107975276293871,0.341447804074618,0.00763882537480706,0.324847709196602,0.951383213832623,0.0212842201597581,0.341775109918405,0.945,0.00720936890441875,1.34397734172417,"02a_cor_to_smd_GROUPS",1000
0.2,25,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0156351724276179,0.0106461932218573,0.336662189913153,0.00753176224406089,0.324513029553467,0.96391290520976,0.0215645327676824,0.336856864712364,0.954,0.00662449998113065,1.34256375570573,"02a_cor_to_smd_GROUPS",1000
0.5,25,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0382655438789346,0.00980155307532088,0.309952323250419,0.00693421261923911,0.322849808212174,1.04161118983236,0.0233027885744891,0.312151604343137,0.957,0.00641490451994416,1.33558674466839,"02a_cor_to_smd_GROUPS",1000
0.8,25,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0374318124017197,0.0102280417341905,0.323439078833003,0.00723593654172054,0.319059891416049,0.986460549440239,0.0220689656995523,0.325437191264771,0.954,0.00662449998113065,1.3195656960937,"02a_cor_to_smd_GROUPS",1000
1.2,25,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0382020639544291,0.00966137749327473,0.305519582134362,0.00683504391786453,0.310856579730397,1.01746859418552,0.0227626735992571,0.307747088601771,0.958,0.00634318531969546,1.28481714369635,"02a_cor_to_smd_GROUPS",1000
0,50,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0118040836829353,0.00747439930389131,0.236361259418736,0.00528784301589658,0.227681783395604,0.96327877062224,0.0215503459920746,0.236537765907795,0.946,0.00714730718522718,0.915567231671785,"02a_cor_to_smd_GROUPS",1000
