rr	n	br	br_guess	method	bias_ci	bias_es	bias_var
RR=0.25	n=75	br=0.05	guessed br=0.01	metaumbrella (cases)	1	0	2.6577937302413
RR=0.25	n=75	br=0.05	guessed br=0.01	metaumbrella (exp)	0.535284229304607	0.429883115475962	1.00246478143487
RR=0.25	n=75	br=0.05	guessed br=0.01	OR = RR	1	-0.0394706937308854	2.48572359030925
RR=0.25	n=75	br=0.05	guessed br=0.05	dipietrantonj (br)	1	-0.0087901466503958	1.7814609842349
RR=0.25	n=75	br=0.05	guessed br=0.05	dipietrantonj (random)	1	-0.0087901466503958	1.7814609842349
RR=0.25	n=75	br=0.05	guessed br=0.05	Grant	1	-0.021332001892233	2.25512887360396
RR=0.25	n=75	br=0.05	guessed br=0.05	metaumbrella (cases)	1	0	2.67998420209072
RR=0.25	n=75	br=0.05	guessed br=0.05	metaumbrella (exp)	0.534620140129139	0.429344626759576	0.987818206335659
RR=0.25	n=75	br=0.05	guessed br=0.05	OR = RR	1	-0.0394027230343595	2.46816141298371
RR=0.25	n=75	br=0.05	guessed br=0.15	dipietrantonj (br)	1	-0.00906236842900511	1.7967316573221
RR=0.25	n=75	br=0.05	guessed br=0.15	dipietrantonj (random)	1	-0.00906236842900511	1.7967316573221
RR=0.25	n=75	br=0.05	guessed br=0.15	Grant	1	0.0213724445988549	2.16615150179027
RR=0.25	n=75	br=0.05	guessed br=0.15	metaumbrella (cases)	1	0	2.69897108904035
RR=0.25	n=75	br=0.05	guessed br=0.15	metaumbrella (exp)	0.535103973646284	0.426669707318952	0.997708482079741
RR=0.25	n=75	br=0.05	guessed br=0.15	OR = RR	1	-0.0390373926249037	2.50497309267715
RR=0.25	n=75	br=0.05	guessed br=0.5	dipietrantonj (br)	1	-0.00909861070428746	1.80012273620342
RR=0.25	n=75	br=0.05	guessed br=0.5	dipietrantonj (random)	1	-0.00909861070428746	1.80012273620342
RR=0.25	n=75	br=0.05	guessed br=0.5	Grant	0.986633333333333	0.229762117373633	2.30577112730814
RR=0.25	n=75	br=0.05	guessed br=0.5	metaumbrella (cases)	1	0	2.74607298752118
RR=0.25	n=75	br=0.05	guessed br=0.5	metaumbrella (exp)	0.533593991151353	0.428967008039642	0.990936247285178
RR=0.25	n=75	br=0.05	guessed br=0.5	OR = RR	1	-0.0390976389267674	2.48495851743234
RR=0.25	n=75	br=0.15	guessed br=0.01	dipietrantonj (br)	1	0.0288862398706755	1.46607127880009
RR=0.25	n=75	br=0.15	guessed br=0.01	dipietrantonj (random)	1	0.0288862398706755	1.46607127880009
RR=0.25	n=75	br=0.15	guessed br=0.01	Grant	1	-0.119808579528329	1.65704440656847
RR=0.25	n=75	br=0.15	guessed br=0.01	metaumbrella (cases)	1	-3.00049935354679e-06	1.86717645882882
RR=0.25	n=75	br=0.15	guessed br=0.01	metaumbrella (exp)	0.855294478998695	0.207759838534163	1.26380400823317
RR=0.25	n=75	br=0.15	guessed br=0.01	OR = RR	1	-0.126469374447165	1.66630083346528
RR=0.25	n=75	br=0.15	guessed br=0.05	dipietrantonj (br)	1	0.0302814430077355	1.44795031295556
RR=0.25	n=75	br=0.15	guessed br=0.05	dipietrantonj (random)	1	0.0302814430077355	1.44795031295556
RR=0.25	n=75	br=0.15	guessed br=0.05	Grant	1	-0.0926629262200844	1.62732282037628
RR=0.25	n=75	br=0.15	guessed br=0.05	metaumbrella (cases)	1	-4.44010174677437e-07	1.79954828320726
RR=0.25	n=75	br=0.15	guessed br=0.05	metaumbrella (exp)	0.851927055398054	0.218574449219754	1.22428156771441
RR=0.25	n=75	br=0.15	guessed br=0.05	OR = RR	1	-0.126616580073494	1.65798833004551
