"rho","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00330746984004417,0.00449631960366457,0.142186110356456,0.0031809689644355,0.142857142857143,1.00471939557953,0.0224774502044725,0.142153482001191,0.951,0.00682634602111555,0.559989709868587,"01b_smd_to_cor_z",1000
0.5,50,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.0171084527691898,0.00492952096195777,0.155885140133308,0.00348744185727854,0.142857142857143,0.916425662734601,0.0205021544232618,0.156743663009457,0.926,0.00827792244467173,0.559989709868587,"01b_smd_to_cor_z",1000
0.75,50,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.0130541052166868,0.00512628409520291,0.162107336739366,0.00362664402157482,0.142857142857143,0.88125032296858,0.0197152163473226,0.162551282674465,0.916,0.00877177291087725,0.559989709868587,"01b_smd_to_cor_z",1000
0,100,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.000374342666343184,0.00322052694787098,0.101842004212226,0.00227839592673893,0.100503781525921,0.986859815881897,0.0220778980358844,0.101791758804792,0.951,0.00682634602111555,0.393967584201775,"01b_smd_to_cor_z",1000
0.1,100,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00250448436674938,0.00336182776536245,0.106310328397395,0.00237836068785676,0.100503781525921,0.945381159488398,0.0211499429891965,0.106286671224482,0.944,0.00727076337120113,0.393967584201775,"01b_smd_to_cor_z",1000
0.25,100,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00364677117052281,0.00333706440842516,0.105527242293059,0.0023608415885008,0.100503781525921,0.952396550331647,0.0213068903906678,0.105537490054872,0.941,0.00745110730026082,0.393967584201775,"01b_smd_to_cor_z",1000
0.5,100,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00477984372266889,0.00342353804069084,0.108261778648133,0.00242201827626449,0.100503781525921,0.928340387354744,0.0207687090757623,0.108313152522463,0.93,0.00806845710157772,0.393967584201775,"01b_smd_to_cor_z",1000
0.75,100,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.00967347902706171,0.00343011354188479,0.108469714253433,0.00242667018428422,0.100503781525921,0.926560765995014,0.0207288956207099,0.108846173234516,0.928,0.00817410545564467,0.393967584201775,"01b_smd_to_cor_z",1000
0,300,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.000184707507954809,0.00183620621652575,0.0580659389798169,0.00129904355159974,0.057831493196624,0.995962421562246,0.0222815403332375,0.058037192671611,0.955,0.00655553201502365,0.226695287675112,"01b_smd_to_cor_z",1000
0.1,300,0.3,"viechtbauer","own",1000,1000,1000,1000,0,0.0033403326680905,0.00189502002487462,0.0599257949023272,0.00134065200374035,0.057831493196624,0.965051749265626,0.0215900108371504,0.0599888957734232,0.939,0.00756828910652864,0.226695287675112,"01b_smd_to_cor_z",1000
