"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.3,300,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00186605713628142,0.00518942576359732,0.16410405161326,0.00367131426417981,0.16234354517571,0.989272011140228,0.0221318633510173,0.164032593667745,0.952,0.00675988165576884,0.638974966650994,"07a_ancova_to_smd_d",1000
0.8,300,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00456385605646866,0.00531622195921769,0.168113699381307,0.00376101757680647,0.165456342425769,0.984193096902174,0.0220182385495246,0.168091589575008,0.949,0.00695693898205238,0.651205594744963,"07a_ancova_to_smd_d",1000
0,100,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00741321164380453,0.00921090270307565,0.291274318479207,0.00651635075252192,0.280812084438933,0.964081165497534,0.0215682970647155,0.291223013485879,0.947,0.00708456067798138,1.11466072800711,"07a_ancova_to_smd_d",1000
0.3,100,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00941928240384678,0.00925022239047635,0.292517716169927,0.00654416788216079,0.281827237949654,0.963453570059795,0.0215542565821067,0.292523111121156,0.942,0.00739161687318817,1.11866719114727,"07a_ancova_to_smd_d",1000
0.8,100,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00469187660505278,0.00906485859720015,0.286655998345113,0.00641303030175813,0.288360778249021,1.00594712796435,0.0225049168719477,0.286551048561898,0.95,0.00689202437604511,1.14447589400668,"07a_ancova_to_smd_d",1000
0,300,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.000677871809716345,0.00520387485956147,0.164560972147031,0.00368153643027954,0.161829788165192,0.983403209483967,0.022000567292069,0.164480067943238,0.95,0.00689202437604511,0.636956317996549,"07a_ancova_to_smd_d",1000
0.3,300,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.000987370442906202,0.00517739716862984,0.163723674041771,0.0036628045071674,0.162448649276286,0.992212337202008,0.0221976439390396,0.163644770465438,0.947,0.00708456067798138,0.639387745181124,"07a_ancova_to_smd_d",1000
0.8,300,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00167847016201125,0.00539561111447486,0.1706242049026,0.00381718227621529,0.166191632238802,0.974021431095728,0.0217906793796042,0.170547131143947,0.945,0.00720936890441875,0.654094479041011,"07a_ancova_to_smd_d",1000
0,100,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,0.0256147976134434,0.00885680964650132,0.280076912854949,0.00626584386627499,0.280760531963611,1.00244082634907,0.0224264743532642,0.281106299989919,0.947,0.00708456067798138,1.1144560284667,"07a_ancova_to_smd_d",1000
0.3,100,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00331276881640099,0.00898208351775278,0.284038420499562,0.00635447019439028,0.282366220549573,0.994112768452068,0.0222401601370728,0.283915693354202,0.955,0.00655553201502365,1.12079772499968,"07a_ancova_to_smd_d",1000
0.8,100,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,0.0195144600095782,0.00922209364791551,0.291628207227839,0.00652426790507249,0.292149280201925,1.00178677151651,0.0224118419245538,0.292134863357899,0.96,0.00619677335393187,1.15944878668922,"07a_ancova_to_smd_d",1000
0,300,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.000528592460390099,0.00499806148862374,0.158052581896228,0.00353593157939545,0.161818985429395,1.02383006647522,0.0229049916208341,0.157974420193298,0.946,0.00714730718522718,0.6369137635728,"07a_ancova_to_smd_d",1000
0.3,300,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,0.0104410447261706,0.00511725499729634,0.161821811593352,0.00362025629055271,0.162776874166525,1.00590193969384,0.0225039059259018,0.162077536455923,0.961,0.00612200947402077,0.640677842029983,"07a_ancova_to_smd_d",1000
0.8,300,0.7,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.0022555498526656,0.00531705211833689,0.168139951317677,0.00376160488167501,0.168148599398566,1.00005143382534,0.0223730191779115,0.168070995983898,0.946,0.00714730718522718,0.661785919379005,"07a_ancova_to_smd_d",1000
0,100,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.0076754276787207,0.00859106630392032,0.271673370499125,0.00607784092169637,0.267846050278231,0.985912052352195,0.0220566947948221,0.271645957098883,0.953,0.00669260786241059,1.06319390879168,"07a_ancova_to_smd_d",1000
0.3,100,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00348242876480838,0.0084737209599661,0.267962584902013,0.00599482371425961,0.268608891228316,1.00241192749555,0.0224258278319132,0.267851209201234,0.952,0.00675988165576884,1.06620594979635,"07a_ancova_to_smd_d",1000
0.8,100,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00913486814812665,0.00868656536647882,0.274693316020083,0.00614540274578995,0.27337078104022,0.995185412593851,0.0222641571907677,0.274707858031631,0.956,0.00648567652600714,1.08500981451331,"07a_ancova_to_smd_d",1000
0,300,0,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00209636752506501,0.0049240231742117,0.15571128481961,0.00348355238906124,0.154373659005751,0.99140957692688,0.0221796846917217,0.155647528000781,0.942,0.00739161687318817,0.607609202444115,"07a_ancova_to_smd_d",1000
