"or_true","br","n","p_exp","rr","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
4,0.5,100,0.25,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.31987875437272,2.20956415807997e-05,0.000698725537580504,1.56317958493277e-05,NA,NA,NA,0.319879516737478,NA,NA,NA,"06_or_se_imputation",1000
4,0.5,300,0.25,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.31982924780448,0,0,0,NA,NA,NA,0.31982924780448,NA,NA,NA,"06_or_se_imputation",1000
4,0.5,1000,0.25,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.31982924780448,0,0,0,NA,NA,NA,0.31982924780448,NA,NA,NA,"06_or_se_imputation",1000
4,0.5,50,0.5,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.124016133735174,4.37622143474592e-05,0.0013838827279047,3.09600424179782e-05,NA,NA,NA,0.124023847073431,NA,NA,NA,"06_or_se_imputation",1000
4,0.5,100,0.5,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.123918081952291,0,0,0,NA,NA,NA,0.123918081952291,NA,NA,NA,"06_or_se_imputation",1000
4,0.5,300,0.5,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.123918081952291,0,0,0,NA,NA,NA,0.123918081952291,NA,NA,NA,"06_or_se_imputation",1000
4,0.5,1000,0.5,1.6,"balanced_4_over_sqrtN","population",1000,1000,0,-0.123918081952291,0,0,0,NA,NA,NA,0.123918081952291,NA,NA,NA,"06_or_se_imputation",1000
2,0.1,50,0.25,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.492092612863001,0.000192573733966089,0.0060897161685617,0.000136238329368831,NA,NA,NA,0.492130254295249,NA,NA,NA,"06_or_se_imputation",1000
2,0.1,100,0.25,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.479079820736947,2.79068554925303e-05,0.000882492256895758,1.97430007298359e-05,NA,NA,NA,0.479080632723904,NA,NA,NA,"06_or_se_imputation",1000
2,0.1,300,0.25,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.479000610227763,0,0,0,NA,NA,NA,0.479000610227763,NA,NA,NA,"06_or_se_imputation",1000
2,0.1,1000,0.25,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.479000610227763,0,0,0,NA,NA,NA,0.479000610227763,NA,NA,NA,"06_or_se_imputation",1000
2,0.1,50,0.5,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.402068974597913,0.000151855546051107,0.00480209400850086,0.000107431815717078,NA,NA,NA,0.402097621705198,NA,NA,NA,"06_or_se_imputation",1000
2,0.1,100,0.5,1.81818181818182,"balanced_4_over_sqrtN","population",1000,1000,0,-0.400883220972544,2.61176271810549e-05,0.000825911889712562,1.84771921951281e-05,NA,NA,NA,0.400884070905344,NA,NA,NA,"06_or_se_imputation",1000
