r	n	p	method	bias_ci	bias_es	bias_var
r=0.5	n=300	0.3	Viechtbauer (z)	0.255	-0.143164621224448	1.00012450803642
r=0.5	n=300	0.5	Lipsey-Cooper (r)	0.3667	-0.10194734565327	1.01147786219597
r=0.5	n=300	0.5	Viechtbauer (r)	0.9965	0.000287200826361667	0.994180780467568
r=0.5	n=300	0.5	Lipsey-Cooper (z)	0.4058	-0.128448926547653	1.19895286712437
r=0.5	n=300	0.5	Viechtbauer (z)	0.4387	-0.119840475108099	0.988737869467582
r=0.5	n=300	0.7	Lipsey-Cooper (r)	0.2042	-0.121541938013374	1.0345869262118
r=0.5	n=300	0.7	Viechtbauer (r)	0.9922	3.02759945178378e-05	0.997648593074934
r=0.5	n=300	0.7	Lipsey-Cooper (z)	0.2261	-0.151502016765237	1.20282444897898
r=0.5	n=300	0.7	Viechtbauer (z)	0.2576	-0.142523588273406	0.989720953157382
r=0.75	n=25	0.3	Lipsey-Cooper (r)	0.8261	-0.189041057973698	1.17312182049517
r=0.75	n=25	0.3	Viechtbauer (r)	0.9767	-0.000264793632219624	1.01634219594371
r=0.75	n=25	0.3	Lipsey-Cooper (z)	0.6591	-0.349844223869132	1.58381311119263
r=0.75	n=25	0.3	Viechtbauer (z)	0.7255	-0.28065395444488	0.927263835869242
r=0.75	n=25	0.5	Lipsey-Cooper (r)	0.8987	-0.163231025239951	1.110127100591
r=0.75	n=25	0.5	Viechtbauer (r)	0.9728	0.0023157968912551	0.990935519499522
r=0.75	n=25	0.5	Lipsey-Cooper (z)	0.762	-0.307690978644952	1.5803985677196
r=0.75	n=25	0.5	Viechtbauer (z)	0.8093	-0.237934099320215	0.899229319686916
r=0.75	n=25	0.7	Lipsey-Cooper (r)	0.8288	-0.189181263980486	1.12872710886645
r=0.75	n=25	0.7	Viechtbauer (r)	0.9737	-0.00108489429895126	0.978292151872509
r=0.75	n=25	0.7	Lipsey-Cooper (z)	0.6613	-0.348711112580707	1.53674155153028
r=0.75	n=25	0.7	Viechtbauer (z)	0.7276	-0.279595837730021	0.899887809298497
r=0.75	n=50	0.3	Lipsey-Cooper (r)	0.4095	-0.18927218550099	1.18266361230929
r=0.75	n=50	0.3	Viechtbauer (r)	0.9744	-0.00176846339396506	1.0201059093815
r=0.75	n=50	0.3	Lipsey-Cooper (z)	0.3811	-0.344203497597619	1.66690354830717
r=0.75	n=50	0.3	Viechtbauer (z)	0.4568	-0.292068974295406	0.938891954331578
r=0.75	n=50	0.5	Lipsey-Cooper (r)	0.5489	-0.158376084130061	1.11794059913703
r=0.75	n=50	0.5	Viechtbauer (r)	0.9776	0.000383436343838171	1.00499455227868
r=0.75	n=50	0.5	Lipsey-Cooper (z)	0.5333	-0.297601786355961	1.64431178220691
r=0.75	n=50	0.5	Viechtbauer (z)	0.5953	-0.245654587245952	0.918197017798464
r=0.75	n=50	0.7	Lipsey-Cooper (r)	0.4119	-0.18876248077739	1.16121861932782
r=0.75	n=50	0.7	Viechtbauer (r)	0.9753	-0.00145949845567444	1.00221327795625
r=0.75	n=50	0.7	Lipsey-Cooper (z)	0.3837	-0.343080822959035	1.63689277197564
r=0.75	n=50	0.7	Viechtbauer (z)	0.4586	-0.291041709470627	0.9252106803198
r=0.75	n=75	0.3	Lipsey-Cooper (r)	0.1852	-0.183011382430336	1.14283558097985
r=0.75	n=75	0.3	Viechtbauer (r)	0.9748	0.000780040137946767	0.988780369775236
r=0.75	n=75	0.3	Lipsey-Cooper (z)	0.2143	-0.333216716167422	1.64185445373117
r=0.75	n=75	0.3	Viechtbauer (z)	0.2963	-0.286508612920893	0.923498019619467
r=0.75	n=75	0.5	Lipsey-Cooper (r)	0.2969	-0.156320731257533	1.09289950820897
r=0.75	n=75	0.5	Viechtbauer (r)	0.9805	2.41809516634399e-05	0.984805034945446
r=0.75	n=75	0.5	Lipsey-Cooper (z)	0.3464	-0.292481890223536	1.64085349464448
r=0.75	n=75	0.5	Viechtbauer (z)	0.4226	-0.246851932477589	0.925730786250613
r=0.75	n=75	0.7	Lipsey-Cooper (r)	0.1825	-0.184265144264352	1.16272445004653
r=0.75	n=75	0.7	Viechtbauer (r)	0.9765	-0.000853438801275442	1.00720610321469
r=0.75	n=75	0.7	Lipsey-Cooper (z)	0.2084	-0.334935296135258	1.66428801156147
r=0.75	n=75	0.7	Viechtbauer (z)	0.283	-0.288675564228576	0.939314400151345
r=0.75	n=100	0.3	Lipsey-Cooper (r)	0.0649	-0.184906282174873	1.16495664484547
r=0.75	n=100	0.3	Viechtbauer (r)	0.9802	-0.000757578712860939	1.00746049974695
r=0.75	n=100	0.3	Lipsey-Cooper (z)	0.0927	-0.334748537893696	1.67504866578579
r=0.75	n=100	0.3	Viechtbauer (z)	0.155	-0.291746135471915	0.953657445830913
r=0.75	n=100	0.5	Lipsey-Cooper (r)	0.1463	-0.155424660577085	1.10253224869413
r=0.75	n=100	0.5	Viechtbauer (r)	0.9841	-0.000471499252629867	0.995207764323827
r=0.75	n=100	0.5	Lipsey-Cooper (z)	0.2056	-0.289818861250965	1.668495030189
r=0.75	n=100	0.5	Viechtbauer (z)	0.2814	-0.24755624441677	0.948427045087493
r=0.75	n=100	0.7	Lipsey-Cooper (r)	0.0687	-0.18541805150025	1.18170277543677
