"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,50,0.5,0.3,"phi (r)","population",1000,1000,0,-0.0378253861940952,0.00449747415757886,0.142222620556962,0.0031817857658404,0.137634982193401,0.967743258100605,0.0216502249188923,0.147097948201272,0.941955193482688,0.00746175632733152,0.537430666480429,"03b_2x2_to_cor_CONT",1000
0.25,50,0.5,0.3,"phi (r)","population",1000,1000,0,-0.0948832489913995,0.00437431950909888,0.138328128620621,0.00309465870433847,0.13687106013635,0.989466578498529,0.022136216186373,0.167685322660271,0.901722391084093,0.00947556557468529,0.535177556347021,"03b_2x2_to_cor_CONT",1000
0.5,50,0.5,0.3,"phi (r)","population",1000,1000,0,-0.188086165145865,0.00420775768822428,0.133060981368734,0.00297682277861154,0.134291269175652,1.00924604489057,0.022578719807637,0.230356083178468,0.677484787018256,0.0148862880662223,0.528242840022503,"03b_2x2_to_cor_CONT",1000
0,100,0.5,0.3,"phi (r)","population",1000,1000,0,0.00271449801951628,0.00320181934685505,0.101250417924546,0.00226516103610033,0.0986577522169071,0.974393530804276,0.0217990039453554,0.101236179216046,0.950704225352113,0.00686648329252985,0.385787170690497,"03b_2x2_to_cor_CONT",1000
0.1,100,0.5,0.3,"phi (r)","population",1000,1000,0,-0.0338608750067207,0.00321876137279638,0.101786171826069,0.00227714685193737,0.0985006899555094,0.967721726717715,0.0216497432216255,0.107222307410593,0.934409687184662,0.00786414821352207,0.385232450649193,"03b_2x2_to_cor_CONT",1000
0.25,100,0.5,0.3,"phi (r)","population",1000,1000,0,-0.0979450959337282,0.00312144882275127,0.0987088787954524,0.0022083020568985,0.097895387473163,0.99175868136467,0.0221874948102992,0.139021369320581,0.830321285140562,0.0118934294144301,0.383106419208419,"03b_2x2_to_cor_CONT",1000
0.5,100,0.5,0.3,"phi (r)","population",1000,1000,0,-0.193265092286696,0.00285143932822112,0.0901704288695918,0.0020172809779024,0.0959728092160693,1.06434903791873,0.0238114767220125,0.213246269446545,0.416416416416416,0.0155966997020819,0.376634435683296,"03b_2x2_to_cor_CONT",1000
0,300,0.5,0.3,"phi (r)","population",1000,1000,0,0.000188381243496555,0.00184218068082597,0.0582548681296975,0.00130327024969803,0.0574728047195053,0.986575140665481,0.0220715293193755,0.0582260381499595,0.94689378757515,0.00709836009644863,0.225087643679893,"03b_2x2_to_cor_CONT",1000
0.1,300,0.5,0.3,"phi (r)","population",1000,1000,0,-0.0369016719575035,0.00179756018085626,0.0568438440272997,0.00127170300401879,0.0573906120883863,1.00961877350913,0.0225870584432802,0.0677475075147077,0.907907907907908,0.0091484880444636,0.224775104519201,"03b_2x2_to_cor_CONT",1000
0.25,300,0.5,0.3,"phi (r)","population",1000,1000,0,-0.09827469099265,0.00177250589379425,0.0560515579046235,0.00125397808306225,0.057001343757894,1.01694486092406,0.0227509567075988,0.113121838104288,0.582,0.0155973074599432,0.223298487587142,"03b_2x2_to_cor_CONT",1000
0.5,300,0.5,0.3,"phi (r)","population",1000,1000,0,-0.186637433690942,0.00174931871284726,0.0553183148615141,0.00123757406611804,0.0556521307933248,1.00603445590572,0.0225068705611691,0.194655047450353,0.072,0.00817410545564467,0.218226998813881,"03b_2x2_to_cor_CONT",1000
0,25,0.3,0.5,"phi (r)","population",1000,998,0.002,-0.00636301561326083,0.00653187499213189,0.206349364261226,0.00462104883576594,0.189856104098701,0.920071184994562,0.020604346872901,0.20634408813386,0.970588235294118,0.00547595132009504,0.740116684552329,"03b_2x2_to_cor_CONT",1000
0.1,25,0.3,0.5,"phi (r)","population",1000,1000,0,-0.031846660361137,0.00619192295282343,0.195805796271974,0.00438054152713129,0.190001734629518,0.97035807032804,0.0217087231542153,0.198282071100757,0.963350785340314,0.00608027018934253,0.740527767101489,"03b_2x2_to_cor_CONT",1000
0.25,25,0.3,0.5,"phi (r)","population",1000,1000,0,-0.109009094627803,0.00654843365788791,0.207079654654337,0.00463275880442957,0.188920056086225,0.91230621570031,0.0204099946958885,0.233927518902674,0.904301075268817,0.00964647356238338,0.738067256252808,"03b_2x2_to_cor_CONT",1000
0.5,25,0.3,0.5,"phi (r)","population",1000,1000,0,-0.191119170450552,0.00586275974162843,0.185396741578861,0.00414767152425342,0.185100967728048,0.998404643747811,0.0223361774068381,0.266203150150366,0.783372365339578,0.0140965266604847,0.729338017692148,"03b_2x2_to_cor_CONT",1000
0,50,0.3,0.5,"phi (r)","population",1000,1000,0,-0.00388643162625004,0.00462955402767251,0.146399352782513,0.00327522706997993,0.13770300370793,0.940598445899535,0.0210429447496791,0.146377737635984,0.95213849287169,0.0068122017686336,0.537587514666138,"03b_2x2_to_cor_CONT",1000
0.1,50,0.3,0.5,"phi (r)","population",1000,1000,0,-0.0412030139109357,0.00458199213713999,0.14489531374345,0.0032415789063684,0.137713956897371,0.950437618301489,0.0212630654208747,0.150570068898877,0.938071065989848,0.00767974071200142,0.537756123249931,"03b_2x2_to_cor_CONT",1000
0.25,50,0.3,0.5,"phi (r)","population",1000,1000,0,-0.0972957743366086,0.00451151697384808,0.142666693398702,0.00319172050506339,0.136811359249882,0.958957945899425,0.0214536810695334,0.172626473414926,0.875757575757576,0.0104835727322855,0.53495914512381,"03b_2x2_to_cor_CONT",1000
0.5,50,0.3,0.5,"phi (r)","population",1000,1000,0,-0.193259065115054,0.00426038852701219,0.134725314626083,0.00301405702339701,0.134477293004797,0.998159057026706,0.0223306831730065,0.235545803910493,0.669371196754564,0.0149818483042138,0.528826709146313,"03b_2x2_to_cor_CONT",1000
0,100,0.3,0.5,"phi (r)","population",1000,1000,0,-0.00199342026623378,0.00319504816591766,0.101036294382434,0.0022603706923719,0.0986610432448742,0.976491109931558,0.0218459307097743,0.101005436359184,0.947315096251266,0.00711101751345879,0.385800718867046,"03b_2x2_to_cor_CONT",1000
