"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0241156719633138,0.0115618607202992,0.365618138657804,0.00817956092187552,0.2017296781399,0.551749644808259,0.0123436705025083,0.366230135743256,0.728,0.0140718158032288,0.806863660334141,"08b_pre_post_to_smd_g",1000
1.4,0.2,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00237013600349607,0.00998313609809181,0.315694482614162,0.00706267545347179,0.185596810335532,0.587900076043985,0.0131524231965902,0.31554549733968,0.772,0.0132671021704063,0.745623477605257,"08b_pre_post_to_smd_g",1000
0.5,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.021068951554554,0.0156857819998093,0.496027980002683,0.0110970727444794,0.41562482948441,0.837906017886655,0.0187455232534966,0.496227381256018,0.9,0.00948683298050514,1.64696706984216,"08b_pre_post_to_smd_g",1000
0.7,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0019197904449368,0.0116396745111355,0.36807882678195,0.00823461111302598,0.271661884378766,0.738053548892937,0.0165116369470565,0.367899750336697,0.86,0.0109726933794762,1.08079309622856,"08b_pre_post_to_smd_g",1000
1,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00809533233161738,0.00941178345046679,0.297626725477536,0.00665846596659235,0.197700270263111,0.664255771876349,0.0148606427835226,0.297588004557175,0.822,0.0120961150788177,0.791832165313404,"08b_pre_post_to_smd_g",1000
1.4,0.5,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00063050162735165,0.00809313532774861,0.255927410476589,0.0057255743745536,0.182373072304777,0.71259687254742,0.0159421235312259,0.255800191802355,0.857,0.0110702755159933,0.732941246358496,"08b_pre_post_to_smd_g",1000
0.5,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0086455081929317,0.0124903106371768,0.394978302965078,0.00883640265710572,0.403076216538451,1.02050217318922,0.0228305404298338,0.39487541929737,0.953,0.00669260786241059,1.60952189597127,"08b_pre_post_to_smd_g",1000
0.7,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0045966320519059,0.00792027886048661,0.250461209028207,0.00560328523451688,0.260404508163077,1.03969995662582,0.0232600307165059,0.250378144886617,0.964,0.00589101010014412,1.04107604207943,"08b_pre_post_to_smd_g",1000
1,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00372949947138901,0.00582200804352105,0.184108059733472,0.00411884130346084,0.189391605309736,1.02869806777559,0.0230138979058184,0.184053772163116,0.969,0.00548078461536303,0.760442685609655,"08b_pre_post_to_smd_g",1000
1.4,0.8,0.8,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00500590319295932,0.00530887635804655,0.167881411076467,0.00375582085339485,0.178479733233215,1.06312981341288,0.023784200391687,0.167872103351384,0.968,0.00556560868189635,0.71759255186543,"08b_pre_post_to_smd_g",1000
0.5,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0445078470407925,0.0193974621393051,0.613401611870866,0.0137229402028391,0.633983786202507,1.03355415755897,0.0231225377079111,0.614708243280125,0.955,0.00655553201502365,2.52980506891176,"08b_pre_post_to_smd_g",1000
