or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.25	n=50	br=0.4	guessed br=0.05	or = rr	0.992233333333333	0.368968184816266	1.12459919270156
or=0.25	n=50	br=0.4	guessed br=0.15	Di Pietrantonj	1	-0.0358953796657699	0.838658565416267
or=0.25	n=50	br=0.4	guessed br=0.15	Grant	0.997325398682759	0.267175948250546	1.15568601982209
or=0.25	n=50	br=0.4	guessed br=0.15	metaumbrella	1	-0.109785702485073	0.793063469195657
or=0.25	n=50	br=0.4	guessed br=0.15	or = rr	0.992266666666667	0.368120697522594	1.12964362794981
or=0.25	n=50	br=0.4	guessed br=0.4	Di Pietrantonj	1	-0.0387359266998537	0.821903809316164
or=0.25	n=50	br=0.4	guessed br=0.4	Grant	0.999443303990815	0.0357757926091968	1.29523787962667
or=0.25	n=50	br=0.4	guessed br=0.4	metaumbrella	1	-0.110479728906983	0.788091293788838
or=0.25	n=50	br=0.4	guessed br=0.4	or = rr	0.990533333333333	0.368420738044703	1.13115577289085
or=0.25	n=50	br=0.4	guessed br=0.7	Di Pietrantonj	1	-0.0343257153177296	0.842447684353492
or=0.25	n=50	br=0.4	guessed br=0.7	Grant	0.999952943390899	-0.474617957401176	0.988692440664482
or=0.25	n=50	br=0.4	guessed br=0.7	metaumbrella	1	-0.109579172164211	0.785248347997194
or=0.25	n=50	br=0.4	guessed br=0.7	or = rr	0.9913	0.36844762854311	1.12503501202189
or=0.25	n=50	br=0.7	guessed br=0.01	Di Pietrantonj	1	0	0.94606992775058
or=0.25	n=50	br=0.7	guessed br=0.01	Grant	0.411433333333333	0.784497606741039	0.950337458547308
or=0.25	n=50	br=0.7	guessed br=0.01	metaumbrella	1	-0.248629278728886	0.552192298736897
or=0.25	n=50	br=0.7	guessed br=0.01	or = rr	0.400833333333333	0.789155015338247	0.949660759159681
or=0.25	n=50	br=0.7	guessed br=0.05	Di Pietrantonj	1	0	0.949875351630262
or=0.25	n=50	br=0.7	guessed br=0.05	Grant	0.419666666666667	0.764163138776723	0.953534737853357
or=0.25	n=50	br=0.7	guessed br=0.05	metaumbrella	1	-0.249226091466667	0.552661297053075
or=0.25	n=50	br=0.7	guessed br=0.05	or = rr	0.400866666666667	0.788109385820431	0.94989776122897
or=0.25	n=50	br=0.7	guessed br=0.15	Di Pietrantonj	1	0	0.934185117185802
or=0.25	n=50	br=0.7	guessed br=0.15	Grant	0.551166666666667	0.716771918311073	0.940915503274686
or=0.25	n=50	br=0.7	guessed br=0.15	metaumbrella	1	-0.248322663113077	0.550097622803142
or=0.25	n=50	br=0.7	guessed br=0.15	or = rr	0.395566666666667	0.794967415750824	0.925797855253502
or=0.25	n=50	br=0.7	guessed br=0.4	Di Pietrantonj	1	0	0.956516443734738
or=0.25	n=50	br=0.7	guessed br=0.4	Grant	0.775567423230975	0.524622195091557	1.0396672484521
or=0.25	n=50	br=0.7	guessed br=0.4	metaumbrella	1	-0.248978898927251	0.555263342807666
or=0.25	n=50	br=0.7	guessed br=0.4	or = rr	0.399533333333333	0.788541668763637	0.966928312142333
or=0.25	n=50	br=0.7	guessed br=0.7	Di Pietrantonj	1	0	0.942451574027073
or=0.25	n=50	br=0.7	guessed br=0.7	Grant	0.944519047282493	0.0814669364319492	1.07008405225165
or=0.25	n=50	br=0.7	guessed br=0.7	metaumbrella	1	-0.251807404668473	0.549224178967082
or=0.25	n=50	br=0.7	guessed br=0.7	or = rr	0.395366666666667	0.789563483370962	0.935201948593665
or=0.25	n=75	br=0.01	guessed br=0.01	Di Pietrantonj	1	-0.0364211944452228	2.49236377516548
or=0.25	n=75	br=0.01	guessed br=0.01	Grant	1	0.00839401912097895	4.97381950291217
or=0.25	n=75	br=0.01	guessed br=0.01	metaumbrella	1	-0.0152203734117751	2.09656740502059
or=0.25	n=75	br=0.01	guessed br=0.01	or = rr	1	0.00752346817360004	4.76716100519367
or=0.25	n=75	br=0.01	guessed br=0.05	Di Pietrantonj	1	-0.0374571817805087	2.50432821813144
or=0.25	n=75	br=0.01	guessed br=0.05	Grant	1	0.0136688735525934	4.48424492045741
or=0.25	n=75	br=0.01	guessed br=0.05	metaumbrella	1	-0.0146757819297274	2.15158184097657
or=0.25	n=75	br=0.01	guessed br=0.05	or = rr	1	0.00740340880528889	4.77673779646179
or=0.25	n=75	br=0.01	guessed br=0.15	Di Pietrantonj	1	-0.0366900394439046	2.48318965990016
or=0.25	n=75	br=0.01	guessed br=0.15	Grant	1	0.0222512337159325	3.52472729854686
or=0.25	n=75	br=0.01	guessed br=0.15	metaumbrella	1	-0.0139096491794026	2.08862826928458
or=0.25	n=75	br=0.01	guessed br=0.15	or = rr	1	0.00757284034070113	4.74612160420004
or=0.25	n=75	br=0.01	guessed br=0.4	Di Pietrantonj	1	-0.0369922552666773	2.48861106466144
or=0.25	n=75	br=0.01	guessed br=0.4	Grant	1	0.307242135926177	1.06409125618136
or=0.25	n=75	br=0.01	guessed br=0.4	metaumbrella	1	-0.0126536494360098	2.22376962208956
or=0.25	n=75	br=0.01	guessed br=0.4	or = rr	1	0.00762564429056312	4.7533495442809
or=0.25	n=75	br=0.01	guessed br=0.7	Di Pietrantonj	1	-0.037800065512058	2.47911421723404
or=0.25	n=75	br=0.01	guessed br=0.7	Grant	1	-0.491134172612107	2.91843013165657
or=0.25	n=75	br=0.01	guessed br=0.7	metaumbrella	1	-0.0144765795414724	2.11531795882379
or=0.25	n=75	br=0.01	guessed br=0.7	or = rr	1	0.00752789141591054	4.73478794229489
or=0.25	n=75	br=0.05	guessed br=0.01	Di Pietrantonj	1	-0.0696549359297401	1.54576705974651
or=0.25	n=75	br=0.05	guessed br=0.01	Grant	1	0.0355995705376127	2.5865235145657
