r	br	n	method	bias_ci	bias_es	bias_var
r=0.2	br=0.5	n=50	Bonett (r)	1	0.114591645017811	0.937744010251049
r=0.2	br=0.5	n=50	Cooper (r)	1	0.0252872413042067	2.59159999858663
r=0.2	br=0.5	n=50	Digby (r)	1	0.11741094719683	0.935272554935804
r=0.2	br=0.5	n=50	Pearson (r)	1	0.132192047769972	0.936154391889795
r=0.2	br=0.5	n=50	Bonett (z)	1	0.139376177664994	0.933230915799194
r=0.2	br=0.5	n=50	Cooper (z)	1	0.0286524144952365	2.56343282206663
r=0.2	br=0.5	n=50	Digby (z)	1	0.142915602562226	0.925655334520832
r=0.2	br=0.5	n=50	Pearson (z)	1	0.163605580117093	0.92769379467322
r=0.2	br=0.5	n=75	Bonett (r)	1	0.114559930052669	0.956025158982876
r=0.2	br=0.5	n=75	Cooper (r)	1	0.0243985365393493	3.27660721175161
r=0.2	br=0.5	n=75	Digby (r)	1	0.117545997271521	0.950948157089838
r=0.2	br=0.5	n=75	Pearson (r)	0.999733333333333	0.132420923735589	0.951481755492953
r=0.2	br=0.5	n=75	Bonett (z)	1	0.132959217799004	0.950479463644257
r=0.2	br=0.5	n=75	Cooper (z)	1	0.0268389679848251	3.26981650329713
r=0.2	br=0.5	n=75	Digby (z)	1	0.13657435435245	0.943102650359413
r=0.2	br=0.5	n=75	Pearson (z)	0.999733333333333	0.155699249861587	0.943497939336585
r=0.2	br=0.5	n=100	Bonett (r)	0.9996	0.114490772949787	0.977144338349456
r=0.2	br=0.5	n=100	Cooper (r)	1	0.0239550682870896	3.9115508753838
r=0.2	br=0.5	n=100	Digby (r)	0.999466666666667	0.11742925282927	0.97119488447667
r=0.2	br=0.5	n=100	Pearson (r)	0.9976	0.132321316135428	0.971588799554688
r=0.2	br=0.5	n=100	Bonett (z)	0.9996	0.129988457934281	0.970009385163775
r=0.2	br=0.5	n=100	Cooper (z)	1	0.025958672456114	3.92298913592026
r=0.2	br=0.5	n=100	Digby (z)	0.999466666666667	0.133490689211759	0.961836710880807
r=0.2	br=0.5	n=100	Pearson (z)	0.9976	0.151902329429744	0.961586307383147
r=0.2	br=0.5	n=300	Bonett (r)	0.9628	0.115503183711777	0.995007660185031
r=0.2	br=0.5	n=300	Cooper (r)	1	0.0232520775533436	7.01088177106193
r=0.2	br=0.5	n=300	Digby (r)	0.949066666666667	0.1185404871419	0.980565700380197
r=0.2	br=0.5	n=300	Pearson (r)	0.907866666666667	0.133627959267122	0.980678906524729
r=0.2	br=0.5	n=300	Bonett (z)	0.9628	0.126289692961785	0.989175831647567
r=0.2	br=0.5	n=300	Cooper (z)	1	0.0246196994221749	7.15914602277561
r=0.2	br=0.5	n=300	Digby (z)	0.949066666666667	0.129777520237766	0.973798509901312
r=0.2	br=0.5	n=300	Pearson (z)	0.907866666666667	0.147227947252207	0.973330841814436
r=0.2	br=0.7	n=25	Bonett (r)	1	0.127251015781544	1.21271882617467
